,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
179,Best Performance by an Actor in a Motion Picture - Drama,Dead Poets Society,1990,Robin Williams,Nominee,Actor -- Leading Role,Dead Poets Society {'John Keating'},Actor -- Leading Role,NO
180,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Driving Miss Daisy,1990,Jessica Tandy,Winner,Actress -- Leading Role,Driving Miss Daisy {'Daisy Werthan'},Actress -- Leading Role,YES
181,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley Valentine,1990,Pauline Collins,Nominee,Actress -- Leading Role,Shirley Valentine {'Shirley Valentine'},Actress -- Leading Role,NO
182,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Driving Miss Daisy,1990,Morgan Freeman,Winner,Actor -- Leading Role,Driving Miss Daisy {'Hoke Colburn'},Actor -- Leading Role,NO
183,Best Director - Motion Picture,Born on the Fourth of July,1990,Oliver Stone,Winner,Directing,Oliver Stone,Directing,YES
184,Best Director - Motion Picture,Dead Poets Society,1990,Peter Weir,Nominee,Directing,Peter Weir,Directing,NO
185,Best Motion Picture - Musical or Comedy,,1991,Ghost,Nominee,Best Picture,"Lisa Weinstein, Producer",Best Picture,NO
186,Best Performance by an Actress in a Motion Picture - Drama,Misery,1991,Kathy Bates,Winner,Actress -- Leading Role,Misery {'Annie Wilkes'},Actress -- Leading Role,YES
187,Best Performance by an Actress in a Motion Picture - Drama,"Grifters, The",1991,Anjelica Huston,Nominee,Actress -- Leading Role,The Grifters {'Lilly Dillon'},Actress -- Leading Role,NO
188,Best Performance by an Actress in a Motion Picture - Drama,Mr. & Mrs. Bridge,1991,Joanne Woodward,Nominee,Actress -- Leading Role,Mr. & Mrs. Bridge {'India Bridge'},Actress -- Leading Role,NO
189,Best Performance by an Actor in a Motion Picture - Drama,Reversal of Fortune,1991,Jeremy Irons,Winner,Actor -- Leading Role,Reversal of Fortune {'Claus Von Bulow'},Actor -- Leading Role,YES
190,Best Performance by an Actor in a Motion Picture - Drama,Dances with Wolves,1991,Kevin Costner,Nominee,Actor -- Leading Role,Dances With Wolves {'Lieutenant Dunbar'},Actor -- Leading Role,NO
191,Best Performance by an Actor in a Motion Picture - Drama,Dances with Wolves,1991,Kevin Costner,Nominee,Directing,Kevin Costner,Directing,YES
192,Best Director - Motion Picture,Dances with Wolves,1991,Kevin Costner,Winner,Actor -- Leading Role,Dances With Wolves {'Lieutenant Dunbar'},Actor -- Leading Role,NO
193,Best Director - Motion Picture,Dances with Wolves,1991,Kevin Costner,Winner,Directing,Kevin Costner,Directing,YES
