,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
432,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mrs. Henderson Presents,2006,Judi Dench,Nominee,Actress -- Leading Role,Mrs. Henderson Presents {'Mrs. Laura Henderson'},Actress -- Leading Role,NO
433,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pride & Prejudice,2006,Keira Knightley,Nominee,Actress -- Leading Role,Pride & Prejudice {'Elizabeth Bennet'},Actress -- Leading Role,NO
434,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walk The Line,2006,Joaquin Phoenix,Winner,Actor -- Leading Role,Walk the Line {'John R. Cash'},Actor -- Leading Role,NO
435,Best Director - Motion Picture,Brokeback Mountain,2006,Ang Lee,Winner,Directing,Ang Lee,Directing,YES
436,Best Director - Motion Picture,"Good Night, and Good Luck",2006,George Clooney,Nominee,Directing,George Clooney,Directing,NO
437,Best Director - Motion Picture,Munich,2006,Steven Spielberg,Nominee,Directing,Steven Spielberg,Directing,NO
438,Best Motion Picture - Drama,,2007,Babel,Winner,Best Picture,"Alejandro Gonzàlez IÐàrritu, Jon Kilik and Steve Golin, Producers",Best Picture,NO
439,Best Motion Picture - Drama,,2007,The Departed,Nominee,Best Picture,"Graham King, Producer",Best Picture,YES
440,Best Motion Picture - Drama,,2007,The Queen,Nominee,Best Picture,"Andy Harries, Christine Langan and Tracey Seaward, Producers",Best Picture,NO
441,Best Motion Picture - Musical or Comedy,,2007,Little Miss Sunshine,Nominee,Best Picture,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Best Picture,NO
442,Best Performance by an Actress in a Motion Picture - Drama,"Queen, The",2007,Helen Mirren,Winner,Actress -- Leading Role,The Queen {'The Queen'},Actress -- Leading Role,YES
443,Best Performance by an Actress in a Motion Picture - Drama,Notes On a Scandal,2007,Judi Dench,Nominee,Actress -- Leading Role,Notes on a Scandal {'Barbara Covett'},Actress -- Leading Role,NO
444,Best Performance by an Actress in a Motion Picture - Drama,Little Children,2007,Kate Winslet,Nominee,Actress -- Leading Role,Little Children {'Sarah Pierce'},Actress -- Leading Role,NO
445,Best Performance by an Actor in a Motion Picture - Drama,"Last King of Scotland, The",2007,Forest Whitaker,Winner,Actor -- Leading Role,The Last King of Scotland {'Idi Amin'},Actor -- Leading Role,YES
446,Best Performance by an Actor in a Motion Picture - Drama,Blood Diamond,2007,Leonardo DiCaprio,Nominee,Actor -- Leading Role,Blood Diamond {'Danny Archer'},Actor -- Leading Role,NO
447,Best Performance by an Actor in a Motion Picture - Drama,"Departed, The",2007,Leonardo DiCaprio,Nominee,Actor -- Leading Role,Blood Diamond {'Danny Archer'},Actor -- Leading Role,NO
448,Best Performance by an Actor in a Motion Picture - Drama,Venus,2007,Peter O'Toole,Nominee,Actor -- Leading Role,Venus {'Maurice'},Actor -- Leading Role,NO
449,Best Performance by an Actor in a Motion Picture - Drama,"Pursuit of Happyness, The",2007,Will Smith,Nominee,Actor -- Leading Role,The Pursuit of Happyness {'Chris Gardner'},Actor -- Leading Role,NO
450,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Devil Wears Prada, The",2007,Meryl Streep,Winner,Actress -- Leading Role,The Devil Wears Prada {'Miranda Priestly'},Actress -- Leading Role,NO
451,Best Director - Motion Picture,"Departed, The",2007,Martin Scorsese,Winner,Directing,Martin Scorsese,Directing,YES
452,Best Director - Motion Picture,Flags of Our Fathers,2007,Clint Eastwood,Nominee,Directing,Clint Eastwood,Directing,NO
453,Best Director - Motion Picture,Letters From Iwo Jima,2007,Clint Eastwood,Nominee,Directing,Clint Eastwood,Directing,NO
454,Best Director - Motion Picture,"Queen, The",2007,Stephen Frears,Nominee,Directing,Stephen Frears,Directing,NO
455,Best Motion Picture - Drama,,2008,Atonement,Winner,Best Picture,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Best Picture,NO
456,Best Motion Picture - Drama,,2008,Michael Clayton,Nominee,Best Picture,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Best Picture,NO
457,Best Motion Picture - Drama,,2008,No Country for Old Men,Nominee,Best Picture,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Best Picture,YES
458,Best Motion Picture - Drama,,2008,There Will Be Blood,Nominee,Best Picture,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",Best Picture,NO
459,Best Motion Picture - Musical or Comedy,,2008,Juno,Nominee,Best Picture,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Best Picture,NO
460,Best Performance by an Actress in a Motion Picture - Drama,Away From Her,2008,Julie Christie,Winner,Actress -- Leading Role,Away from Her {'Fiona'},Actress -- Leading Role,NO
461,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth:  The Golden Age,2008,Cate Blanchett,Nominee,Actress -- Leading Role,Elizabeth: The Golden Age {'Queen Elizabeth I'},Actress -- Leading Role,NO
462,Best Performance by an Actor in a Motion Picture - Drama,There Will Be Blood,2008,Daniel Day-Lewis,Winner,Actor -- Leading Role,There Will Be Blood {'Daniel Plainview'},Actor -- Leading Role,YES
463,Best Performance by an Actor in a Motion Picture - Drama,Michael Clayton,2008,George Clooney,Nominee,Actor -- Leading Role,Michael Clayton {'Michael Clayton'},Actor -- Leading Role,NO
464,Best Performance by an Actor in a Motion Picture - Drama,Eastern Promises,2008,Viggo Mortensen,Nominee,Actor -- Leading Role,Eastern Promises {'Nikolai'},Actor -- Leading Role,NO
465,Best Performance by an Actress in a Motion Picture - Musical or Comedy,La Vie En Rose,2008,Marion Cotillard,Winner,Actress -- Leading Role,La Vie en Rose {'Edith Piaf'},Actress -- Leading Role,YES
466,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Juno,2008,Ellen Page,Nominee,Actress -- Leading Role,Juno {'Juno MacGuff'},Actress -- Leading Role,NO
467,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sweeney Todd: The Demon Barber of Fleet Street,2008,Johnny Depp,Winner,Actor -- Leading Role,Sweeney Todd The Demon Barber of Fleet Street {'Sweeney Todd'},Actor -- Leading Role,NO
468,Best Director - Motion Picture,"Diving Bell and the Butterfly, The",2008,Julian Schnabel,Winner,Directing,Julian Schnabel,Directing,NO
469,Best Motion Picture - Drama,,2009,Slumdog Millionaire,Winner,Best Picture,"Christian Colson, Producer",Best Picture,YES
470,Best Motion Picture - Drama,,2009,Frost/Nixon,Nominee,Best Picture,"Brian Grazer, Ron Howard and Eric Fellner, Producers",Best Picture,NO
471,Best Motion Picture - Drama,,2009,The Reader,Nominee,Best Picture,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",Best Picture,NO
472,Best Motion Picture - Drama,,2009,The Curious Case of Benjamin Button,Nominee,Best Picture,"Kathleen Kennedy, Frank Marshall and Ceàn Chaffin, Producers",Best Picture,NO
473,Best Performance by an Actress in a Motion Picture - Drama,Revolutionary Road,2009,Kate Winslet,Winner,Actress -- Leading Role,The Reader {'Hanna Schmitz'},Actress -- Leading Role,YES
474,Best Performance by an Actress in a Motion Picture - Drama,Doubt,2009,Meryl Streep,Nominee,Actress -- Leading Role,Doubt {'Sister Aloysius Beauvier'},Actress -- Leading Role,NO
475,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mamma Mia!,2009,Meryl Streep,Nominee,Actress -- Leading Role,Doubt {'Sister Aloysius Beauvier'},Actress -- Leading Role,NO
476,Best Performance by an Actress in a Motion Picture - Drama,Rachel Getting Married,2009,Anne Hathaway,Nominee,Actress -- Leading Role,Rachel Getting Married {'Kym'},Actress -- Leading Role,NO
477,Best Performance by an Actress in a Motion Picture - Drama,Changeling,2009,Angelina Jolie,Nominee,Actress -- Leading Role,Changeling {'Christine Collins'},Actress -- Leading Role,NO
478,Best Performance by an Actor in a Motion Picture - Drama,"Wrestler, The",2009,Mickey Rourke,Winner,Actor -- Leading Role,The Wrestler {'Randy'},Actor -- Leading Role,NO
479,Best Performance by an Actor in a Motion Picture - Drama,Frost/Nixon,2009,Frank Langella,Nominee,Actor -- Leading Role,Frost/Nixon {'Richard Nixon'},Actor -- Leading Role,NO
480,Best Performance by an Actor in a Motion Picture - Drama,Milk,2009,Sean Penn,Nominee,Actor -- Leading Role,Milk {'Harvey Milk'},Actor -- Leading Role,YES
481,Best Performance by an Actor in a Motion Picture - Drama,"Curious Case of Benjamin Button, The",2009,Brad Pitt,Nominee,Actor -- Leading Role,The Curious Case of Benjamin Button {'Benjamin Button'},Actor -- Leading Role,NO
482,Best Director - Motion Picture,Slumdog Millionaire,2009,Danny Boyle,Winner,Directing,Danny Boyle,Directing,YES
483,Best Director - Motion Picture,"Reader, The",2009,Stephen Daldry,Nominee,Directing,Stephen Daldry,Directing,NO
484,Best Director - Motion Picture,"Curious Case of Benjamin Button, The",2009,David Fincher,Nominee,Directing,David Fincher,Directing,NO
485,Best Director - Motion Picture,Frost/Nixon,2009,Ron Howard,Nominee,Directing,Ron Howard,Directing,NO
486,Best Motion Picture - Drama,,2010,Avatar,Winner,Best Picture,"James Cameron and Jon Landau, Producers",Best Picture,NO
487,Best Motion Picture - Drama,,2010,The Hurt Locker,Nominee,Best Picture,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",Best Picture,YES
488,Best Motion Picture - Drama,,2010,Inglourious Basterds,Nominee,Best Picture,"Lawrence Bender, Producer",Best Picture,NO
489,Best Performance by an Actress in a Motion Picture - Drama,"Blind Side, The",2010,Sandra Bullock,Winner,Actress -- Leading Role,The Blind Side {'Leigh Anne Tuohy'},Actress -- Leading Role,YES
490,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Proposal, The",2010,Sandra Bullock,Nominee,Actress -- Leading Role,The Blind Side {'Leigh Anne Tuohy'},Actress -- Leading Role,YES
491,Best Performance by an Actress in a Motion Picture - Drama,"Last Station, The",2010,Helen Mirren,Nominee,Actress -- Leading Role,The Last Station {'Sofya'},Actress -- Leading Role,NO
492,Best Performance by an Actress in a Motion Picture - Drama,"Education, An",2010,Carey Mulligan,Nominee,Actress -- Leading Role,An Education {'Jenny'},Actress -- Leading Role,NO
493,Best Performance by an Actress in a Motion Picture - Drama,Precious: Based On The Novel Push By Sapphire,2010,Gabourey Sidibe,Nominee,Actress -- Leading Role,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},Actress -- Leading Role,NO
494,Best Performance by an Actor in a Motion Picture - Drama,Crazy Heart,2010,Jeff Bridges,Winner,Actor -- Leading Role,Crazy Heart {'Bad Blake'},Actor -- Leading Role,YES
495,Best Performance by an Actor in a Motion Picture - Drama,Up In The Air,2010,George Clooney,Nominee,Actor -- Leading Role,Up in the Air {'Ryan Bingham'},Actor -- Leading Role,NO
496,Best Performance by an Actor in a Motion Picture - Drama,"Single Man, A",2010,Colin Firth,Nominee,Actor -- Leading Role,A Single Man {'George'},Actor -- Leading Role,NO
497,Best Performance by an Actor in a Motion Picture - Drama,Invictus,2010,Morgan Freeman,Nominee,Actor -- Leading Role,Invictus {'Nelson Mandela'},Actor -- Leading Role,NO
498,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie & Julia,2010,Meryl Streep,Winner,Actress -- Leading Role,Julie & Julia {'Julia Child'},Actress -- Leading Role,NO
499,Best Performance by an Actress in a Motion Picture - Musical or Comedy,It's Complicated,2010,Meryl Streep,Nominee,Actress -- Leading Role,Julie & Julia {'Julia Child'},Actress -- Leading Role,NO
500,Best Director - Motion Picture,Avatar,2010,James Cameron,Winner,Directing,James Cameron,Directing,NO
501,Best Director - Motion Picture,"Hurt Locker, The",2010,Kathryn Bigelow,Nominee,Directing,Kathryn Bigelow,Directing,YES
502,Best Director - Motion Picture,Up In The Air,2010,Jason Reitman,Nominee,Directing,Jason Reitman,Directing,NO
503,Best Director - Motion Picture,Inglourious Basterds,2010,Quentin Tarantino,Nominee,Directing,Quentin Tarantino,Directing,NO
504,Best Motion Picture - Animated,,2010,Up,Winner,Best Picture,"Jonas Rivera, Producer",Best Picture,NO
505,Best Motion Picture - Drama,,2011,The Social Network,Winner,Best Picture,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceàn Chaffin, Producers",Best Picture,NO
506,Best Motion Picture - Drama,,2011,The Fighter,Nominee,Best Picture,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",Best Picture,NO
507,Best Motion Picture - Drama,,2011,Inception,Nominee,Best Picture,"Emma Thomas and Christopher Nolan, Producers",Best Picture,NO
508,Best Motion Picture - Drama,,2011,The King's Speech,Nominee,Best Picture,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",Best Picture,YES
509,Best Motion Picture - Drama,,2011,Black Swan,Nominee,Best Picture,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",Best Picture,NO
510,Best Motion Picture - Musical or Comedy,,2011,The Kids Are All Right,Winner,Best Picture,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",Best Picture,NO
511,Best Performance by an Actress in a Motion Picture - Drama,Black Swan,2011,Natalie Portman,Winner,Actress -- Leading Role,Black Swan {'Nina Sayers/The Swan Queen'},Actress -- Leading Role,YES
512,Best Performance by an Actress in a Motion Picture - Drama,Rabbit Hole,2011,Nicole Kidman,Nominee,Actress -- Leading Role,Rabbit Hole {'Becca'},Actress -- Leading Role,NO
513,Best Performance by an Actress in a Motion Picture - Drama,Winter's Bone,2011,Jennifer Lawrence,Nominee,Actress -- Leading Role,Winter's Bone {'Ree'},Actress -- Leading Role,NO
514,Best Performance by an Actress in a Motion Picture - Drama,Blue Valentine,2011,Michelle Williams,Nominee,Actress -- Leading Role,Blue Valentine {'Cindy'},Actress -- Leading Role,NO
515,Best Performance by an Actor in a Motion Picture - Drama,"King's Speech, The",2011,Colin Firth,Winner,Actor -- Leading Role,The King's Speech {'King George VI'},Actor -- Leading Role,YES
516,Best Performance by an Actor in a Motion Picture - Drama,"Social Network, The",2011,Jesse Eisenberg,Nominee,Actor -- Leading Role,The Social Network {'Mark Zuckerberg'},Actor -- Leading Role,NO
517,Best Performance by an Actor in a Motion Picture - Drama,127 Hours,2011,James Franco,Nominee,Actor -- Leading Role,127 Hours {'Aron Ralston'},Actor -- Leading Role,NO
518,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Kids Are All Right, The",2011,Annette Bening,Winner,Actress -- Leading Role,The Kids Are All Right {'Nic'},Actress -- Leading Role,NO
519,Best Director - Motion Picture,"Social Network, The",2011,David Fincher,Winner,Directing,David Fincher,Directing,NO
520,Best Director - Motion Picture,Black Swan,2011,Darren Aronofsky,Nominee,Directing,Darren Aronofsky,Directing,NO
521,Best Director - Motion Picture,"King's Speech, The",2011,Tom Hooper,Nominee,Directing,Tom Hooper,Directing,YES
522,Best Director - Motion Picture,"Fighter, The",2011,David O. Russell,Nominee,Directing,David O. Russell,Directing,NO
523,Best Motion Picture - Animated,,2011,Toy Story 3,Winner,Best Picture,"Darla K. Anderson, Producer",Best Picture,NO
524,Best Motion Picture - Drama,,2012,The Descendants,Winner,Best Picture,,Best Picture,NO
525,Best Motion Picture - Drama,,2012,The Help,Nominee,Best Picture,,Best Picture,NO
526,Best Motion Picture - Drama,,2012,Hugo,Nominee,Best Picture,,Best Picture,NO
527,Best Motion Picture - Drama,,2012,Moneyball,Nominee,Best Picture,,Best Picture,NO
528,Best Motion Picture - Drama,,2012,War Horse,Nominee,Best Picture,,Best Picture,NO
529,Best Motion Picture - Musical or Comedy,,2012,The Artist,Winner,Best Picture,"Thomas Langmann, Producer",Best Picture,YES
530,Best Performance by an Actress in a Motion Picture - Drama,"Iron Lady, The",2012,Meryl Streep,Winner,Actress -- Leading Role,The Iron Lady,Actress -- Leading Role,YES
531,Best Performance by an Actress in a Motion Picture - Drama,Albert Nobbs,2012,Glenn Close,Nominee,Actress -- Leading Role,Albert Nobbs,Actress -- Leading Role,NO
532,Best Performance by an Actress in a Motion Picture - Drama,"Help, The",2012,Viola Davis,Nominee,Actress -- Leading Role,The Help,Actress -- Leading Role,NO
533,Best Performance by an Actress in a Motion Picture - Drama,"Girl With The Dragon Tattoo, The",2012,Rooney Mara,Nominee,Actress -- Leading Role,The Girl with the Dragon Tattoo,Actress -- Leading Role,NO
534,Best Performance by an Actor in a Motion Picture - Drama,"Descendants, The",2012,George Clooney,Winner,Actor -- Leading Role,The Descendants,Actor -- Leading Role,NO
535,Best Director - Motion Picture,"Ides of March, The",2012,George Clooney,Nominee,Actor -- Leading Role,The Descendants,Actor -- Leading Role,NO
536,Best Performance by an Actor in a Motion Picture - Drama,Moneyball,2012,Brad Pitt,Nominee,Actor -- Leading Role,Moneyball,Actor -- Leading Role,NO
537,Best Performance by an Actress in a Motion Picture - Musical or Comedy,My Week With Marilyn,2012,Michelle Williams,Winner,Actress -- Leading Role,My Week with Marilyn,Actress -- Leading Role,NO
538,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Artist, The",2012,Jean Dujardin,Winner,Actor -- Leading Role,The Artist,Actor -- Leading Role,YES
539,Best Director - Motion Picture,Midnight In Paris,2012,Woody Allen,Nominee,Directing,Woody Allen,Directing,NO
540,Best Director - Motion Picture,"Artist, The",2012,Michel Hazanavicius,Nominee,Directing,Michel Hazanavicius,Directing,YES
541,Best Director - Motion Picture,"Descendants, The",2012,Alexander Payne,Nominee,Directing,Alexander Payne,Directing,NO
542,Best Motion Picture - Drama,,2013,Argo,Winner,Best Picture,,Best Picture,YES
543,Best Motion Picture - Drama,,2013,Life of Pi,Nominee,Best Picture,,Best Picture,NO
544,Best Motion Picture - Drama,,2013,Lincoln,Nominee,Best Picture,,Best Picture,NO
545,Best Motion Picture - Drama,,2013,Django Unchained,Nominee,Best Picture,,Best Picture,NO
546,Best Motion Picture - Musical or Comedy,,2013,Silver Linings Playbook,Nominee,Best Picture,,Best Picture,NO
547,Best Performance by an Actress in a Motion Picture - Drama,Zero Dark Thirty 	,2013,Jessica Chastain,Winner,Actress -- Leading Role,Zero Dark Thirty,Actress -- Leading Role,NO
548,Best Performance by an Actress in a Motion Picture - Drama,"Impossible, The",2013,Naomi Watts,Nominee,Actress -- Leading Role,The Impossible,Actress -- Leading Role,NO
549,Best Performance by an Actor in a Motion Picture - Drama,Lincoln,2013,Daniel Day-Lewis,Winner,Actor -- Leading Role,Lincoln,Actor -- Leading Role,YES
550,Best Performance by an Actor in a Motion Picture - Drama,"Master, The",2013,Joaquin Phoenix,Nominee,Actor -- Leading Role,The Master,Actor -- Leading Role,NO
551,Best Performance by an Actor in a Motion Picture - Drama,Flight,2013,Denzel Washington,Nominee,Actor -- Leading Role,Flight,Actor -- Leading Role,NO
552,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Silver Linings Playbook,2013,Jennifer Lawrence,Winner,Actress -- Leading Role,Silver Linings Playbook,Actress -- Leading Role,YES
553,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Les MisÌ©rables,2013,Hugh Jackman,Winner,Actor -- Leading Role,Les Mis_rables,Actor -- Leading Role,NO
554,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Silver Linings Playbook,2013,Bradley Cooper,Nominee,Actor -- Leading Role,Silver Linings Playbook,Actor -- Leading Role,NO
555,Best Director - Motion Picture,Life of Pi,2013,Ang Lee,Nominee,Directing,Ang Lee,Directing,YES
556,Best Director - Motion Picture,Lincoln,2013,Steven Spielberg,Nominee,Directing,Steven Spielberg,Directing,NO
557,Best Motion Picture - Foreign Language,Austria,2013,Amour,Winner,Best Picture,,Best Picture,NO
558,Best Motion Picture - Drama,,2014,12 Years A Slave,Winner,Best Picture,,Best Picture,YES
559,Best Motion Picture - Drama,,2014,Gravity,Nominee,Best Picture,,Best Picture,NO
560,Best Motion Picture - Drama,,2014,Philomena,Nominee,Best Picture,,Best Picture,NO
561,Best Motion Picture - Drama,,2014,Captain Phillips,Nominee,Best Picture,,Best Picture,NO
562,Best Motion Picture - Musical or Comedy,,2014,American Hustle,Winner,Best Picture,,Best Picture,NO
563,Best Motion Picture - Musical or Comedy,,2014,Nebraska,Nominee,Best Picture,,Best Picture,NO
564,Best Motion Picture - Musical or Comedy,,2014,Her,Nominee,Best Picture,,Best Picture,NO
565,Best Motion Picture - Musical or Comedy,,2014,The Wolf of Wall Street,Nominee,Best Picture,,Best Picture,NO
566,Best Performance by an Actress in a Motion Picture - Drama,Blue Jasmine,2014,Cate Blanchett,Winner,Actress -- Leading Role,Blue Jasmine,Actress -- Leading Role,YES
567,Best Performance by an Actress in a Motion Picture - Drama,Gravity,2014,Sandra Bullock,Nominee,Actress -- Leading Role,Gravity,Actress -- Leading Role,NO
568,Best Performance by an Actress in a Motion Picture - Drama,Philomena,2014,Judi Dench,Nominee,Actress -- Leading Role,Philomena,Actress -- Leading Role,NO
569,Best Performance by an Actor in a Motion Picture - Drama,Dallas Buyers Club,2014,Matthew McConaughey,Winner,Actor -- Leading Role,Dallas Buyers Club,Actor -- Leading Role,YES
570,Best Performance by an Actor in a Motion Picture - Drama,12 Years A Slave,2014,Chiwetel Ejiofor,Nominee,Actor -- Leading Role,12 Years a Slave,Actor -- Leading Role,NO
571,Best Performance by an Actress in a Motion Picture - Musical or Comedy,American Hustle,2014,Amy Adams,Winner,Actress -- Leading Role,American Hustle,Actress -- Leading Role,NO
572,Best Performance by an Actress in a Motion Picture - Musical or Comedy,August: Osage County,2014,Meryl Streep,Nominee,Actress -- Leading Role,August: Osage County,Actress -- Leading Role,NO
573,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Wolf of Wall Street, The",2014,Leonardo DiCaprio,Winner,Actor -- Leading Role,The Wolf of Wall Street,Actor -- Leading Role,NO
574,Best Performance by an Actor in a Motion Picture - Musical or Comedy,American Hustle,2014,Christian Bale,Nominee,Actor -- Leading Role,American Hustle,Actor -- Leading Role,NO
575,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nebraska,2014,Bruce Dern,Nominee,Actor -- Leading Role,Nebraska,Actor -- Leading Role,NO
576,Best Director - Motion Picture,12 Years A Slave,2014,Steve McQueen,Nominee,Directing,Steve McQueen,Directing,NO
577,Best Director - Motion Picture,American Hustle,2014,David O. Russell,Nominee,Directing,David O. Russell,Directing,NO
578,Best Director - Motion Picture,Nebraska,2014,Alexander Payne,Nominee,Directing,Alexander Payne,Directing,NO
579,Best Motion Picture - Drama,,2015,Boyhood,Winner,Best Picture,,Best Picture,NO
580,Best Motion Picture - Drama,,2015,The Theory of Everything,Nominee,Best Picture,,Best Picture,NO
581,Best Motion Picture - Drama,,2015,The Imitation Game,Nominee,Best Picture,,Best Picture,NO
582,Best Motion Picture - Drama,,2015,Selma,Nominee,Best Picture,,Best Picture,NO
583,Best Motion Picture - Musical or Comedy,,2015,The Grand Budapest Hotel,Winner,Best Picture,,Best Picture,NO
584,Best Performance by an Actress in a Motion Picture - Drama,Still Alice,2015,Julianne Moore,Winner,Actress -- Leading Role,Still Alice,Actress -- Leading Role,YES
585,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maps To The Stars,2015,Julianne Moore,Nominee,Actress -- Leading Role,Still Alice,Actress -- Leading Role,YES
586,Best Performance by an Actress in a Motion Picture - Drama,"Theory of Everything, The",2015,Felicity Jones,Nominee,Actress -- Leading Role,The Theory of Everything,Actress -- Leading Role,NO
587,Best Performance by an Actress in a Motion Picture - Drama,Gone Girl,2015,Rosamund Pike,Nominee,Actress -- Leading Role,Gone Girl,Actress -- Leading Role,NO
588,Best Performance by an Actress in a Motion Picture - Drama,Wild,2015,Reese Witherspoon,Nominee,Actress -- Leading Role,Wild,Actress -- Leading Role,NO
589,Best Performance by an Actor in a Motion Picture - Drama,"Theory of Everything, The",2015,Eddie Redmayne,Winner,Actor -- Leading Role,The Theory of Everything,Actor -- Leading Role,YES
590,Best Performance by an Actor in a Motion Picture - Drama,"Imitation Game, The",2015,Benedict Cumberbatch,Nominee,Actor -- Leading Role,The Imitation Game,Actor -- Leading Role,NO
591,Best Performance by an Actor in a Motion Picture - Drama,Foxcatcher,2015,Steve Carell,Nominee,Actor -- Leading Role,Foxcatcher,Actor -- Leading Role,NO
592,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Birdman,2015,Michael Keaton,Winner,Actor -- Leading Role,Birdman or (The Unexpected Virtue of Ignorance),Actor -- Leading Role,NO
593,Best Director - Motion Picture,Boyhood,2015,Richard Linklater,Winner,Directing,Richard Linklater,Directing,NO
594,Best Director - Motion Picture,"Grand Budapest Hotel, The",2015,Wes Anderson,Nominee,Directing,Wes Anderson,Directing,NO
595,Best Motion Picture - Drama,,2016,The Revenant,Winner,Best Picture,,Best Picture,NO
596,Best Motion Picture - Drama,,2016,Room,Nominee,Best Picture,,Best Picture,NO
597,Best Motion Picture - Drama,,2016,Spotlight,Nominee,Best Picture,,Best Picture,YES
598,Best Motion Picture - Musical or Comedy,,2016,The Martian,Winner,Best Picture,,Best Picture,NO
599,Best Motion Picture - Musical or Comedy,,2016,The Big Short,Nominee,Best Picture,,Best Picture,NO
600,Best Performance by an Actress in a Motion Picture - Drama,Room,2016,Brie Larson,Winner,Actress -- Leading Role,Room,Actress -- Leading Role,YES
601,Best Performance by an Actress in a Motion Picture - Drama,Brooklyn,2016,Saoirse Ronan,Nominee,Actress -- Leading Role,Brooklyn,Actress -- Leading Role,NO
602,Best Performance by an Actress in a Motion Picture - Drama,Carol,2016,Cate Blanchett,Nominee,Actress -- Leading Role,Carol,Actress -- Leading Role,NO
603,Best Performance by an Actor in a Motion Picture - Drama,"Revenant, The",2016,Leonardo DiCaprio,Winner,Actor -- Leading Role,The Revenant,Actor -- Leading Role,YES
604,Best Performance by an Actor in a Motion Picture - Drama,Steve Jobs,2016,Michael Fassbender,Nominee,Actor -- Leading Role,Steve Jobs,Actor -- Leading Role,NO
605,Best Performance by an Actor in a Motion Picture - Drama,The Danish Girl,2016,Eddie Redmayne,Nominee,Actor -- Leading Role,The Danish Girl,Actor -- Leading Role,NO
606,Best Performance by an Actor in a Motion Picture - Drama,Trumbo,2016,Bryan Cranston,Nominee,Actor -- Leading Role,Trumbo,Actor -- Leading Role,NO
607,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Joy,2016,Jennifer Lawrence,Winner,Actress -- Leading Role,Joy,Actress -- Leading Role,NO
608,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Martian,2016,Matt Damon,Winner,Actor -- Leading Role,The Martian,Actor -- Leading Role,NO
609,Best Director - Motion Picture,Mad Max:Fury Road,2016,George Miller,Nominee,Directing,George Miller,Directing,NO
610,Best Director - Motion Picture,Spotlight,2016,Tom McCarthy,Nominee,Directing,Tom McCarthy,Directing,NO
611,Best Motion Picture - Drama,,2017,Moonlight,Winner,Best Picture,,Best Picture,YES
612,Best Motion Picture - Drama,,2017,Hell or High Water,Nominee,Best Picture,,Best Picture,NO
613,Best Motion Picture - Drama,,2017,Lion,Nominee,Best Picture,,Best Picture,NO
614,Best Motion Picture - Drama,,2017,Manchester by the Sea,Nominee,Best Picture,,Best Picture,NO
615,Best Motion Picture - Drama,,2017,Hacksaw Ridge,Nominee,Best Picture,,Best Picture,NO
616,Best Motion Picture - Musical or Comedy,,2017,La La Land,Winner,Best Picture,,Best Picture,NO
617,Best Performance by an Actress in a Motion Picture - Drama,Elle,2017,Isabelle Huppert,Winner,Actress -- Leading Role,Elle,Actress -- Leading Role,NO
618,Best Performance by an Actress in a Motion Picture - Drama,Loving,2017,Ruth Negga,Nominee,Actress -- Leading Role,Loving,Actress -- Leading Role,NO
619,Best Performance by an Actress in a Motion Picture - Drama,Jackie,2017,Natalie Portman,Nominee,Actress -- Leading Role,Jackie,Actress -- Leading Role,NO
